"證券代碼	簡稱	年月日	收盤價(元)"
"0056   	元大高股息   	20090223	     7.8444"
"0056   	元大高股息   	20090224	     7.8105"
"0056   	元大高股息   	20090225	     7.8671"
"0056   	元大高股息   	20090226	     7.9123"
"0056   	元大高股息   	20090227	     7.9916"
"0056   	元大高股息   	20090302	     7.8218"
"0056   	元大高股息   	20090303	     7.9350"
"0056   	元大高股息   	20090304	     8.0708"
"0056   	元大高股息   	20090305	     8.2915"
"0056   	元大高股息   	20090306	     8.3198"
"0056   	元大高股息   	20090309	     8.3764"
"0056   	元大高股息   	20090310	     8.5009"
"0056   	元大高股息   	20090311	     8.5689"
"0056   	元大高股息   	20090312	     8.5689"
"0056   	元大高股息   	20090313	     8.8009"
"0056   	元大高股息   	20090316	     8.8858"
"0056   	元大高股息   	20090317	     8.9594"
"0056   	元大高股息   	20090318	     8.9367"
"0056   	元大高股息   	20090319	     8.8575"
"0056   	元大高股息   	20090320	     8.8292"
"0056   	元大高股息   	20090323	     9.1122"
"0056   	元大高股息   	20090324	     9.2537"
"0056   	元大高股息   	20090325	     9.4518"
"0056   	元大高股息   	20090326	     9.4518"
"0056   	元大高股息   	20090327	     9.3442"
"0056   	元大高股息   	20090330	     9.0556"
"0056   	元大高股息   	20090331	     9.0613"
"0056   	元大高股息   	20090401	     9.3103"
"0056   	元大高股息   	20090402	     9.4857"
"0056   	元大高股息   	20090403	     9.5933"
"0056   	元大高股息   	20090406	     9.6782"
"0056   	元大高股息   	20090407	     9.7857"
"0056   	元大高股息   	20090408	     9.6272"
"0056   	元大高股息   	20090409	     9.9612"
"0056   	元大高股息   	20090410	    10.1423"
"0056   	元大高股息   	20090413	    10.2441"
"0056   	元大高股息   	20090414	    10.2781"
"0056   	元大高股息   	20090415	    10.2611"
"0056   	元大高股息   	20090416	    10.4479"
"0056   	元大高股息   	20090417	     9.8989"
"0056   	元大高股息   	20090420	     9.9102"
"0056   	元大高股息   	20090421	    10.1875"
"0056   	元大高股息   	20090422	    10.3064"
"0056   	元大高股息   	20090423	    10.2781"
"0056   	元大高股息   	20090424	    10.2555"
"0056   	元大高股息   	20090427	    10.0008"
"0056   	元大高股息   	20090428	     9.6782"
"0056   	元大高股息   	20090429	     9.6952"
"0056   	元大高股息   	20090430	    10.3687"
"0056   	元大高股息   	20090504	    11.0931"
"0056   	元大高股息   	20090505	    10.8101"
"0056   	元大高股息   	20090506	    11.0648"
"0056   	元大高股息   	20090507	    11.3138"
"0056   	元大高股息   	20090508	    11.2912"
"0056   	元大高股息   	20090511	    11.4440"
"0056   	元大高股息   	20090512	    10.9573"
"0056   	元大高股息   	20090513	    11.0931"
"0056   	元大高股息   	20090514	    10.9290"
"0056   	元大高股息   	20090515	    11.0931"
"0056   	元大高股息   	20090518	    11.2176"
"0056   	元大高股息   	20090519	    11.2516"
"0056   	元大高股息   	20090520	    11.3082"
"0056   	元大高股息   	20090521	    11.3138"
"0056   	元大高股息   	20090522	    11.2969"
"0056   	元大高股息   	20090525	    11.3535"
"0056   	元大高股息   	20090526	    11.2459"
"0056   	元大高股息   	20090527	    11.5515"
"0056   	元大高股息   	20090601	    11.6308"
"0056   	元大高股息   	20090602	    11.6874"
"0056   	元大高股息   	20090603	    11.6138"
"0056   	元大高股息   	20090604	    11.5346"
"0056   	元大高股息   	20090605	    11.5402"
"0056   	元大高股息   	20090606	    11.5459"
"0056   	元大高股息   	20090608	    11.2629"
"0056   	元大高股息   	20090609	    10.8384"
"0056   	元大高股息   	20090610	    10.9007"
"0056   	元大高股息   	20090611	    11.0478"
"0056   	元大高股息   	20090612	    11.0082"
"0056   	元大高股息   	20090615	    10.5328"
"0056   	元大高股息   	20090616	    10.5837"
"0056   	元大高股息   	20090617	    10.5668"
"0056   	元大高股息   	20090618	    10.4649"
"0056   	元大高股息   	20090619	    10.6234"
"0056   	元大高股息   	20090622	    10.7309"
"0056   	元大高股息   	20090623	    10.5837"
"0056   	元大高股息   	20090624	    10.7818"
"0056   	元大高股息   	20090625	    10.9403"
"0056   	元大高股息   	20090626	    11.0082"
"0056   	元大高股息   	20090629	    10.9346"
"0056   	元大高股息   	20090630	    10.9007"
"0056   	元大高股息   	20090701	    11.1044"
"0056   	元大高股息   	20090702	    11.2629"
"0056   	元大高股息   	20090703	    11.3761"
"0056   	元大高股息   	20090706	    11.3818"
"0056   	元大高股息   	20090707	    11.4667"
"0056   	元大高股息   	20090708	    11.4610"
"0056   	元大高股息   	20090709	    11.5572"
"0056   	元大高股息   	20090710	    11.6025"
"0056   	元大高股息   	20090713	    11.2403"
"0056   	元大高股息   	20090714	    11.4327"
"0056   	元大高股息   	20090715	    11.7723"
"0056   	元大高股息   	20090716	    11.8289"
"0056   	元大高股息   	20090717	    11.9081"
"0056   	元大高股息   	20090720	    12.0779"
"0056   	元大高股息   	20090721	    12.1628"
"0056   	元大高股息   	20090722	    12.2024"
"0056   	元大高股息   	20090723	    12.1854"
"0056   	元大高股息   	20090724	    12.2251"
"0056   	元大高股息   	20090727	    12.3100"
"0056   	元大高股息   	20090728	    12.5363"
"0056   	元大高股息   	20090729	    12.4797"
"0056   	元大高股息   	20090730	    12.4514"
"0056   	元大高股息   	20090731	    12.4514"
"0056   	元大高股息   	20090803	    12.5307"
"0056   	元大高股息   	20090804	    12.3383"
"0056   	元大高股息   	20090805	    12.1968"
"0056   	元大高股息   	20090806	    12.1685"
"0056   	元大高股息   	20090810	    12.2364"
"0056   	元大高股息   	20090811	    12.2930"
"0056   	元大高股息   	20090812	    12.2647"
"0056   	元大高股息   	20090813	    12.4797"
"0056   	元大高股息   	20090814	    12.5420"
"0056   	元大高股息   	20090817	    12.3666"
"0056   	元大高股息   	20090818	    12.0100"
"0056   	元大高股息   	20090819	    12.1232"
"0056   	元大高股息   	20090820	    11.9081"
"0056   	元大高股息   	20090821	    11.8572"
"0056   	元大高股息   	20090824	    12.1685"
"0056   	元大高股息   	20090825	    12.0100"
"0056   	元大高股息   	20090826	    11.8855"
"0056   	元大高股息   	20090827	    11.8515"
"0056   	元大高股息   	20090828	    11.9987"
"0056   	元大高股息   	20090831	    12.0553"
"0056   	元大高股息   	20090901	    12.3269"
"0056   	元大高股息   	20090902	    12.3609"
"0056   	元大高股息   	20090903	    12.5420"
"0056   	元大高股息   	20090904	    12.6495"
"0056   	元大高股息   	20090907	    12.7061"
"0056   	元大高股息   	20090908	    12.8363"
"0056   	元大高股息   	20090909	    12.7627"
"0056   	元大高股息   	20090910	    12.7797"
"0056   	元大高股息   	20090911	    12.8759"
"0056   	元大高股息   	20090914	    12.7627"
"0056   	元大高股息   	20090915	    12.7910"
"0056   	元大高股息   	20090916	    12.9608"
"0056   	元大高股息   	20090917	    13.0174"
"0056   	元大高股息   	20090918	    13.0684"
"0056   	元大高股息   	20090921	    13.0853"
"0056   	元大高股息   	20090922	    13.0174"
"0056   	元大高股息   	20090923	    12.8476"
"0056   	元大高股息   	20090924	    12.8193"
"0056   	元大高股息   	20090925	    12.8024"
"0056   	元大高股息   	20090928	    12.7061"
"0056   	元大高股息   	20090929	    12.8024"
"0056   	元大高股息   	20090930	    12.8986"
"0056   	元大高股息   	20091001	    13.0740"
"0056   	元大高股息   	20091002	    12.9042"
"0056   	元大高股息   	20091005	    12.9608"
"0056   	元大高股息   	20091006	    13.0910"
"0056   	元大高股息   	20091007	    13.3570"
"0056   	元大高股息   	20091008	    13.3004"
"0056   	元大高股息   	20091009	    13.3004"
"0056   	元大高股息   	20091012	    13.4928"
"0056   	元大高股息   	20091013	    13.4419"
"0056   	元大高股息   	20091014	    13.6117"
"0056   	元大高股息   	20091015	    13.5834"
"0056   	元大高股息   	20091016	    13.6966"
"0056   	元大高股息   	20091019	    13.6740"
"0056   	元大高股息   	20091020	    13.5834"
"0056   	元大高股息   	20091021	    13.5268"
"0056   	元大高股息   	20091022	    13.3740"
"0056   	元大高股息   	20091023	    13.4543"
"0056   	元大高股息   	20091026	    13.3925"
"0056   	元大高股息   	20091027	    13.3183"
"0056   	元大高股息   	20091028	    13.2317"
"0056   	元大高股息   	20091029	    12.9102"
"0056   	元大高股息   	20091030	    12.9411"
"0056   	元大高股息   	20091102	    12.8669"
"0056   	元大高股息   	20091103	    12.8793"
"0056   	元大高股息   	20091104	    13.1081"
"0056   	元大高股息   	20091105	    13.0463"
"0056   	元大高股息   	20091106	    13.1328"
"0056   	元大高股息   	20091109	    13.1390"
"0056   	元大高股息   	20091110	    13.2441"
"0056   	元大高股息   	20091111	    13.2936"
"0056   	元大高股息   	20091112	    13.3616"
"0056   	元大高股息   	20091113	    13.3492"
"0056   	元大高股息   	20091116	    13.4791"
"0056   	元大高股息   	20091117	    13.4914"
"0056   	元大高股息   	20091118	    13.6027"
"0056   	元大高股息   	20091119	    13.6336"
"0056   	元大高股息   	20091120	    13.4914"
"0056   	元大高股息   	20091123	    13.4234"
"0056   	元大高股息   	20091124	    13.5100"
"0056   	元大高股息   	20091125	    13.6027"
"0056   	元大高股息   	20091126	    13.6027"
"0056   	元大高股息   	20091127	    13.2132"
"0056   	元大高股息   	20091130	    13.3678"
"0056   	元大高股息   	20091201	    13.4049"
"0056   	元大高股息   	20091202	    13.4791"
"0056   	元大高股息   	20091203	    13.4605"
"0056   	元大高股息   	20091204	    13.4296"
"0056   	元大高股息   	20091207	    13.5409"
"0056   	元大高股息   	20091208	    13.4976"
"0056   	元大高股息   	20091209	    13.5842"
"0056   	元大高股息   	20091210	    13.4296"
"0056   	元大高股息   	20091211	    13.6646"
"0056   	元大高股息   	20091214	    13.8006"
"0056   	元大高股息   	20091215	    13.7759"
"0056   	元大高股息   	20091216	    13.6646"
"0056   	元大高股息   	20091217	    13.6336"
"0056   	元大高股息   	20091218	    13.6027"
"0056   	元大高股息   	20091221	    13.7449"
"0056   	元大高股息   	20091222	    13.8130"
"0056   	元大高股息   	20091223	    13.8191"
"0056   	元大高股息   	20091224	    13.9181"
"0056   	元大高股息   	20091225	    13.9428"
"0056   	元大高股息   	20091228	    14.0355"
"0056   	元大高股息   	20091229	    14.0108"
"0056   	元大高股息   	20091230	    14.2210"
"0056   	元大高股息   	20091231	    14.4684"
"0056   	元大高股息   	20100104	    14.5302"
"0056   	元大高股息   	20100105	    14.4684"
"0056   	元大高股息   	20100106	    14.6848"
"0056   	元大高股息   	20100107	    14.5611"
"0056   	元大高股息   	20100108	    14.7157"
"0056   	元大高股息   	20100111	    14.8703"
"0056   	元大高股息   	20100112	    14.7899"
"0056   	元大高股息   	20100113	    14.6291"
"0056   	元大高股息   	20100114	    14.8393"
"0056   	元大高股息   	20100115	    14.9135"
"0056   	元大高股息   	20100118	    14.8455"
"0056   	元大高股息   	20100119	    14.8332"
"0056   	元大高股息   	20100120	    14.6539"
"0056   	元大高股息   	20100121	    14.5116"
"0056   	元大高股息   	20100122	    14.2520"
"0056   	元大高股息   	20100125	    14.1963"
"0056   	元大高股息   	20100126	    13.9366"
"0056   	元大高股息   	20100127	    13.6646"
"0056   	元大高股息   	20100128	    13.9057"
"0056   	元大高股息   	20100129	    13.8191"
"0056   	元大高股息   	20100201	    13.6893"
"0056   	元大高股息   	20100202	    13.6027"
"0056   	元大高股息   	20100203	    13.7697"
"0056   	元大高股息   	20100204	    13.7264"
"0056   	元大高股息   	20100205	    13.1143"
"0056   	元大高股息   	20100206	    13.1947"
"0056   	元大高股息   	20100208	    13.2008"
"0056   	元大高股息   	20100209	    13.4482"
"0056   	元大高股息   	20100210	    13.5718"
"0056   	元大高股息   	20100222	    13.6646"
"0056   	元大高股息   	20100223	    13.7759"
"0056   	元大高股息   	20100224	    13.6522"
"0056   	元大高股息   	20100225	    13.5842"
"0056   	元大高股息   	20100226	    13.5409"
"0056   	元大高股息   	20100301	    13.8191"
"0056   	元大高股息   	20100302	    13.6955"
"0056   	元大高股息   	20100303	    13.7882"
"0056   	元大高股息   	20100304	    13.6955"
"0056   	元大高股息   	20100305	    13.8501"
"0056   	元大高股息   	20100308	    14.0294"
"0056   	元大高股息   	20100309	    13.9675"
"0056   	元大高股息   	20100310	    14.0294"
"0056   	元大高股息   	20100311	    13.8995"
"0056   	元大高股息   	20100312	    13.8562"
"0056   	元大高股息   	20100315	    13.7449"
"0056   	元大高股息   	20100316	    13.7697"
"0056   	元大高股息   	20100317	    13.9119"
"0056   	元大高股息   	20100318	    14.0046"
"0056   	元大高股息   	20100319	    14.0232"
"0056   	元大高股息   	20100322	    14.0355"
"0056   	元大高股息   	20100323	    14.0046"
"0056   	元大高股息   	20100324	    14.0046"
"0056   	元大高股息   	20100325	    14.0355"
"0056   	元大高股息   	20100326	    14.0355"
"0056   	元大高股息   	20100329	    14.0417"
"0056   	元大高股息   	20100330	    14.0294"
"0056   	元大高股息   	20100331	    14.0974"
"0056   	元大高股息   	20100401	    14.2025"
"0056   	元大高股息   	20100402	    14.1963"
"0056   	元大高股息   	20100406	    14.2952"
"0056   	元大高股息   	20100407	    14.4189"
"0056   	元大高股息   	20100408	    14.3632"
"0056   	元大高股息   	20100409	    14.3818"
"0056   	元大高股息   	20100412	    14.3756"
"0056   	元大高股息   	20100413	    14.2272"
"0056   	元大高股息   	20100414	    14.3447"
"0056   	元大高股息   	20100415	    14.4127"
"0056   	元大高股息   	20100416	    14.4560"
"0056   	元大高股息   	20100419	    14.0417"
"0056   	元大高股息   	20100420	    14.2210"
"0056   	元大高股息   	20100421	    14.2520"
"0056   	元大高股息   	20100422	    14.2210"
"0056   	元大高股息   	20100423	    14.2334"
"0056   	元大高股息   	20100426	    14.4374"
"0056   	元大高股息   	20100427	    14.4436"
"0056   	元大高股息   	20100428	    14.4189"
"0056   	元大高股息   	20100429	    14.4498"
"0056   	元大高股息   	20100430	    14.4313"
"0056   	元大高股息   	20100503	    14.4065"
"0056   	元大高股息   	20100504	    14.3942"
"0056   	元大高股息   	20100505	    14.1778"
"0056   	元大高股息   	20100506	    14.0355"
"0056   	元大高股息   	20100507	    13.9119"
"0056   	元大高股息   	20100510	    14.0355"
"0056   	元大高股息   	20100511	    13.9243"
"0056   	元大高股息   	20100512	    13.9243"
"0056   	元大高股息   	20100513	    14.0603"
"0056   	元大高股息   	20100514	    14.1345"
"0056   	元大高股息   	20100517	    13.8562"
"0056   	元大高股息   	20100518	    13.8253"
"0056   	元大高股息   	20100519	    13.9613"
"0056   	元大高股息   	20100520	    13.7882"
"0056   	元大高股息   	20100521	    13.4791"
"0056   	元大高股息   	20100524	    13.5842"
